no_soal,soal,keterangan,pil_a,pil_b,pil_c,pil_d,pil_e,tingkat,jawaban,skor,id_semester
1,Masalah utama dalam paragraf pertama adalah…. ,0,Sering terdengarnya istilah milenial,Tantangan teknologi generasi milenial,"William Strauss, pencipta istilah milenial",Alasan dua pakar sejarah milenial,Etimologi istilah generasi milenial ,sulit,e,2,8
2,Kalimat topik paragraf kedua adalah….,0,Kalimat 4,Kalimat 5,Kalimat 6 ,Kalimat 7,Kalimat 8,sedang,c,2,9
3,Pernyataan yang sesuai dengan paragraf kedua adalah...,0,Generasi milenial hanya berada di kawasan Eropa,Generasi milenial adalah generasi yang sangat langka,Pakar belum rampung menggolongkan istilah milenial,Adanya penentuan kategori milenial oleh para pakar ,,sulit,d,2,7
4,Pertanyaan yang jawabannya tidak terdapat dalam teks di atas adalah... ,0,Istilah generasi milenial berasal dari kataapa?,Apa sebutan lain bagi generasi milenial?,Mengapa generasi milenial gemar menonton?,Berapa persentase remaja berusia 16-19 tahun?,Bagaimana prosedur streaming yang benar? ,sedang,e,2,3
5,"Dalam paragraf kedua terdapat kalimat yang sumbang, yakni.... ",0,kalimat 8 ,kalimat 7,kalimat 6,kalimat 5,kalimat 4,sulit,a,2,10
6,Kata tersebut dalam kalimat kedua merujuk pada gagasan…,0,stilah di berbagai media, berbagai media milenial,riwayat generasi milenial,istilah generasi milenial ,para pakar istilah milenial,sulit,d,2,11
7,"Berdasarkan teks tersebut, keistimewaan tokoh Maudy Ayunda adalah....",0,hobi membaca buku-bukuklasik,menolong sesama warga Indonesia,gemar bermain film-film inspiratif,giat bernyanyi dan mengeluarkan album,berkarya dalam dunia film dan musik,sedang,e,2,9
8,"Pernyataan berikut berkaitan dengan keteladanan tokoh, yakni... ",0,selalugigih berlatih dalam dunia akting,gemar membaca dan menulis di manapun,rajin dan gemar bersosialisasisetiap hari ,berani berkuliah di luar negeri sendiri,peduli terhadap korban bencana alam ,sedang,e,2,8
9,"Tanda baca koma ( , ) yang kurang tepat pada teks di atas terdapat pada kalimat….",0,(1) dan (2),(1) dan (4) ,(2) dan (3) ,(3) dan (4),(4) dan (5) ,sulit,b,2,7
10,"Kalimat (9) dapat divariasikan ke dalam kalimat berikut, kecuali.... ",0,Ia juga memiliki hobi menulis pada waktu senggangnya.,Hobi menulis juga dimilikinya pada waktu senggang.,"Ia, pada waktu senggangnya, juga hobi menulis.",Bukankah ia hobi menulis di waktu senggangnya. ,Ia juga terkenal memiliki hobi menulis di waktu senggang.,sedang,d,2,3
